title,link,authors,year
A Model for Understanding and Assessing Semi-Fake Scientific News Reporting,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003224495-6/model-understanding-assessing-semi-fake-scientific-news-reporting-paola-catenaccio,"P Catenaccio - The Routledge Handbook of Discourse and …, 2023 - taylorfrancis.com",2023
[HTML] Did West Africa's Ebola Outbreak of 2014 Have a Lab Origin?–Independent Science News,https://www.vectorsjournal.org/did-west-africas-ebola-outbreak-of-2014-have-a-lab-origin-independent-science-news/,"S Husseini, J Latham - vectorsjournal.org",N/A
Writing Science for Diverse Audiences: A Corpus-based Discourse Analysis of the Language of Science News and Research Articles,https://scholarworks.gsu.edu/alesl_diss/67/,J Batchelor - 2023 - scholarworks.gsu.edu,2023
Can human intelligence safeguard against artificial intelligence? Exploring individual differences in the discernment of human from AI texts,https://pmc.ncbi.nlm.nih.gov/articles/PMC11092869/,"J Chein, S Martinez, A Barone - Research Square, 2024 - pmc.ncbi.nlm.nih.gov",2024
Recent Advancements in Misinformation Detection,https://link.springer.com/chapter/10.1007/978-3-031-54834-5_2,"A Ekbal, R Kumari - Dive into Misinformation Detection: From Unimodal to …, 2024 - Springer",2024
Network embedding aided vaccine skepticism detection,https://link.springer.com/article/10.1007/s41109-023-00534-x,"F Béres, TV Michaletzky, R Csoma… - Applied Network Science, 2023 - Springer",2023
[PDF] Desing and construction of microcontroller finger-base attendance system,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-185-2023-148-162-1.pdf,"DC Agumba, M Eze, II Eneh… - … Scientific News, 2023 - worldscientificnews.com",2023
"[PDF] Application of GIS-AHP based category model in the identification of forest fire hazard in Ondo State, Nigeria",https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-181-2023-121-144-4.pdf,"SO Adebowale, O Ayodeji, B Dada… - … Scientific News, 2023 - worldscientificnews.com",2023
A rapid tertiary review at the fake news domain,https://sol.sbc.org.br/index.php/erigo/article/view/27242,"JRS Gomes, VVG Neto, JR Barbosa… - Escola Regional de …, 2023 - sol.sbc.org.br",2023
“This is fake! shared it by mistake”: Assessing the intent of fake news spreaders,https://dl.acm.org/doi/abs/10.1145/3485447.3512264,"X Zhou, K Shu, VV Phoha, H Liu… - Proceedings of the ACM …, 2022 - dl.acm.org",2022
News video indexing and abstraction by specific visual cues: MSC and news caption,https://www.igi-global.com/chapter/news-video-indexing-abstraction-specific/30769,"F Jiang, YJ Zhang - Video data management and information …, 2005 - igi-global.com",2005
[PDF] Overview of Military Operations of US Arms Forces During the First Gulf War,https://scholar.archive.org/work/cjysnftmnjacvejjk6xt5yjof4/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2017/01/WSN-72-2017-242-247.pdf,"S Wierzbicki, P Mazurczak - World Scientific News, 2017 - scholar.archive.org",2017
[PDF] Approaches in Assessing the Credibility of Online Information,https://conferences.info.uaic.ro/consilr/prevEditions/Consilr_2020.pdf#page=159,"M PETIC, A GOREA, I ȚIȚCHIEV - ISSN 1843-911X, 2020 - conferences.info.uaic.ro",2020
[PDF] Chemical Components of Fan Palm and its Durability in Severe Environment,https://scholar.archive.org/work/l5pxoybwrzdazeorncceinv7qq/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2015/07/WSN-24-2015-90-102.pdf,"MT Audu, AA Jimoh - World Scientific News, 2015 - scholar.archive.org",2015
[PDF] Reinforcement-Based Learning for Process Classification Task,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-36-2016-12-26.pdf,"LZ Bashir - World Scientific News, 2016 - worldscientificnews.com",2016
An Improved Model for Detection of Fake News On Social Media Using Deep Learning Algorithms (A Case Study of Twitter Networking Site),https://fanefanejournal.com/FFI/article/view/1184,"MW Bara, AA Goni - Fane-Fane International Multi-Disciplinary …, 2023 - fanefanejournal.com",2023
"[PDF] Using Social Media to Detect Fake News Information Related to Product Marketing: The FakeAds Corpus. Data 2022, 7, 44",https://www.academia.edu/download/90434209/data-07-00044-v2.pdf,"N Alnazzawi, N Alsaedi, F Alharbi, N Alaswad - 2022 - academia.edu",2022
[PDF] Surveillance and Sequestration Issues of Internet of Things (SSIoT),https://www.researchgate.net/profile/Revathi-Velusamy/publication/320237276_REVERSIBLE_DATA_HIDING_WITH_QR_CODE_APPLICATION/links/59d67176a6fdcc52aca7cba5/REVERSIBLE-DATA-HIDING-WITH-QR-CODE-APPLICATION.pdf#page=185,"R Banu, A Taranum - World Scientific News, 2016 - researchgate.net",2016
[PDF] The solar radio burst type II correlated with minor CME contributes to the production of geomagnetic disturbance,https://www.academia.edu/download/98526350/WSN-46-2016-165-175.pdf,"N Husien, ZS Hamidi, MO Ali, NH Zainol… - … Scientific News, 2016 - academia.edu",2016
