title,link,authors,year
[PDF] Information Retrieval System for Internet of Things: A Survey,https://www.researchgate.net/profile/Vijayalakshmi-Sr/publication/308379692_Challenges_in_Integrating_Wireless_Sensor_Network_and_Internet_of_Things_for_Environmental_Monitoring/links/57e271b208ae1f0b4d95c83c/Challenges-in-Integrating-Wireless-Sensor-Network-and-Internet-of-Things-for-Environmental-Monitoring.pdf#page=91,"C Indhu, S Sivakumari, RP Priyadharsini - World Scientific News, 2016 - researchgate.net",2016
Automatic detection of fake news in social media using contextual information,https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2559124,T Granskogen - 2018 - ntnuopen.ntnu.no,2018
Pylinguistics: an open source library for readability assessment of texts written in Portuguese,https://lume.ufrgs.br/handle/10183/147640,SP Castilhos - 2016 - lume.ufrgs.br,2016
Selection of Content Measures for Evaluation of Text Summaries Using Genetic Algorithms,http://www.polibits.ojs.gelbukh.com/ojs/index.php/CyS/article/view/5291,"J Rojas-Simón, Y Ledeneva… - Computación y …, 2024 - polibits.ojs.gelbukh.com",2024
Prompting LLMs with content plans to enhance the summarization of scientific articles,https://arxiv.org/abs/2312.08282,"A Creo, M Lama, JC Vidal - arXiv preprint arXiv:2312.08282, 2023 - arxiv.org",2023
A Model for Understanding and Assessing Semi-Fake Scientific News Reporting,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003224495-6/model-understanding-assessing-semi-fake-scientific-news-reporting-paola-catenaccio,"P Catenaccio - The Routledge Handbook of Discourse and …, 2023 - taylorfrancis.com",2023
"[PDF] INSECT, PLANT DISEASE, & WEED SCIENCE NEWS [No. 90-7][May 4, 1990]",https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1068&context=weedscihist,"A Martin, BN Stougarrd - 1990 - digitalcommons.unl.edu",1990
Some like it hoax: Automated fake news detection in social networks,https://arxiv.org/abs/1704.07506,"E Tacchini, G Ballarin, ML Della Vedova… - arXiv preprint arXiv …, 2017 - arxiv.org",2017
ReproHum:# 0033-03: How Reproducible Are Fluency Ratings of Generated Text? A Reproduction of August et al. 2022,https://aclanthology.org/2024.humeval-1.13/,"E Van Miltenburg, A Braggaar, N Braun… - … on Human Evaluation …, 2024 - aclanthology.org",2024
Productivity-Based Analysis of Argumentation Patterns across Texts of Different Genres,https://ieeexplore.ieee.org/abstract/document/10615197/,"IS Pimenov, NV Salomatina - 2024 IEEE 25th International …, 2024 - ieeexplore.ieee.org",2024
"[PDF] Electrical Resistivity and Seismic Refraction Methods of Investigating a Landslide Area: A Case Study of Elu Community, Abia State, Nigeria",https://www.academia.edu/download/104746548/WSN-129-2019-135-146.pdf,"CN Nwankwo, GK Ugbena - World Scientific News, 2019 - academia.edu",2019
"[PDF] A COMPARATIVE STUDY OF NEWSPAPER COVERAGE PATTERN OF SCIENCE NEWS IN INDIA AND UK, 1987-97",https://core.ac.uk/download/pdf/144518881.pdf,A RIZVI - 2007 - core.ac.uk,2007
