title,link,authors
SciNews: From Scholarly Complexities to Public Narratives--A Dataset for Scientific News Report Generation,https://arxiv.org/abs/2403.17768,"D Liu, Y Wang, J Loy, V Demberg - arXiv preprint arXiv:2403.17768, 2024 - arxiv.org"
Can Large Language Models Detect Misinformation in Scientific News Reporting?,https://arxiv.org/abs/2402.14268,"Y Cao, AM Nair, E Eyimife, NJ Soofi… - arXiv preprint arXiv …, 2024 - arxiv.org"
[HTML][HTML] Who Wrote the Scientific News? Improving the Discernibility of LLMs to Human-Written Scientific News,https://search.proquest.com/openview/5e9e3f1572a286f468d03abb6d3d09d8/1?pq-origsite=gscholar&cbl=18750&diss=y,D Soós - 2024 - search.proquest.com
Predicting news coverage of scientific articles,https://ojs.aaai.org/index.php/ICWSM/article/view/14999,"A MacLaughlin, J Wihbey, D Smith - Proceedings of the International …, 2018 - ojs.aaai.org"
Scilens: Evaluating the quality of scientific news articles using social media and scientific literature indicators,https://dl.acm.org/doi/abs/10.1145/3308558.3313657,"P Smeros, C Castillo, K Aberer - The World Wide Web Conference, 2019 - dl.acm.org"
'Don't Get Too Technical with Me': A Discourse Structure-Based Framework for Automatic Science Journalism,https://aclanthology.org/2023.emnlp-main.76/,"R Cardenas, B Yao, D Wang, Y Hou - Proceedings of the 2023 …, 2023 - aclanthology.org"
'Don't Get Too Technical with Me': A Discourse Structure-Based Framework for Science Journalism,https://arxiv.org/abs/2310.15077,"R Cardenas, B Yao, D Wang, Y Hou - arXiv preprint arXiv:2310.15077, 2023 - arxiv.org"
Science news in Turkey,https://books.google.com/books?hl=en&lr=&id=uPN6DwAAQBAJ&oi=fnd&pg=PT173&dq=%22science+news%22OR%22scientific+news%22+automatic+AND+generation&ots=UhpA9Cf7fV&sig=RVVFPHT0lAt6J5EWO3u-1ER-Z30,"A Süerdem - The Cultural Authority of Science: Comparing across …, 2018 - books.google.com"
A semantic Web based scientific news aggregator,https://ieeexplore.ieee.org/abstract/document/5873015/,"M Mohirta, AS Cernian, D Carstoiu… - 2011 6th IEEE …, 2011 - ieeexplore.ieee.org"
Understanding practices around computational news discovery tools in the domain of science journalism,https://dl.acm.org/doi/abs/10.1145/3637419,"S Nishal, J Sinchai, N Diakopoulos - Proceedings of the ACM on Human …, 2024 - dl.acm.org"
Algorithmic Science News: support platform for science journalism,https://repositorio-aberto.up.pt/handle/10216/151375,"J Silva, M Fernandes, A Pasquali… - … : Atas do VI …, 2019 - repositorio-aberto.up.pt"
Combating Online Scientific Misinformation,https://infoscience.epfl.ch/record/294599,P Smeros - 2022 - infoscience.epfl.ch
