title,link,authors,year
[PDF] Organization of budget accounting on the example of a public finance sector entity,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-13-2015-95-130.pdf,"E Klimaszewska - World Scientific News, 2015 - worldscientificnews.com",2015
[PDF] ICT for good governance and socio-economic development in Nigeria,https://scholar.archive.org/work/h37j3nesb5egnadxkma6iuygke/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2017/01/WSN-72-2017-522-534-1.pdf,"J Ogidan, O Adekola, E Grace… - … Scientific News, 2017 - scholar.archive.org",2017
"Science and the news flow 1990–2014, in Germany, UK and India",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315163284-5/science-news-flow-1990%E2%80%932014-germany-uk-india-bankole-falade-bauer-martin-rajesh-shukla-petra-pansegrau,"B Falade, BW Martin, R Shukla… - The Cultural Authority of …, 2018 - taylorfrancis.com",2018
[PDF] Survey on Message Filtering Techniques for On-line Social Network,https://www.academia.edu/download/97130363/WSN-40-2016-163-174.pdf,"MN Rajkumar, P Kayathri, V Dhurka - World Scientific News, 2016 - academia.edu",2016
[PDF] Low cost implementation of LAN based internet less Industrial system: A system architectural approach,https://www.researchgate.net/profile/Sadman-Ahmed/publication/331398049_Low_cost_implementation_of_LAN_based_internet_less_Industrial_system_A_system_architectural_approach/links/5c776c9f299bf1268d2b1c02/Low-cost-implementation-of-LAN-based-internet-less-Industrial-system-A-system-architectural-approach.pdf,"SS Ahmed, MM Islam, A Islam - World Scientific News, 2019 - researchgate.net",2019
Introduction to Part V Machine Learning and Applied Mathematics: a Game of Hide-and-Seek?,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7A492E6B34BFDE72C17D06B8B4E918A9/stamped-9781316516195c18_343-353.pdf/introduction_to_part_v_machine_learning_and_applied_mathematics_a_game_of_hideandseek.pdf,"G Pagèsa - Machine Learning and Data Sciences for Financial …, 2023 - cambridge.org",2023
"The second event is the (third!) revival-almost the"" rebirth"" of"" deep"" connectionist learning methods thanks to the work of Hinton, Le Cun and Bengio (see LeCun et al …",https://books.google.com/books?hl=en&lr=&id=IC-_EAAAQBAJ&oi=fnd&pg=PA343&dq=%22science+news%22OR%22scientific+news%22+automatic+AND+generation&ots=DRmhiuW7Pq&sig=8xJTDyE72m201q8TGpYX2TPWVGE,"G Pagèsa - Machine Learning and Data Sciences for Financial …, 2023 - books.google.com",2023
[PDF] Flood vulnerability analysis of part of Akure using multicriteria approach,https://www.researchgate.net/profile/Abolade-Olawuyi/publication/362903882_Flood_vulnerability_analysis_of_part_of_Akure_using_multicriteria_approach/links/63064dee61e4553b95363e8b/Flood-vulnerability-analysis-of-part-of-Akure-using-multicriteria-approach.pdf,"AP Olawuyi, EO Okeniyi, OO Olanrewaju - World Scientific News, 2022 - researchgate.net",2022
[PDF] Information Retrieval System for Internet of Things: A Survey,https://www.researchgate.net/profile/Vijayalakshmi-Sr/publication/308379692_Challenges_in_Integrating_Wireless_Sensor_Network_and_Internet_of_Things_for_Environmental_Monitoring/links/57e271b208ae1f0b4d95c83c/Challenges-in-Integrating-Wireless-Sensor-Network-and-Internet-of-Things-for-Environmental-Monitoring.pdf#page=91,"C Indhu, S Sivakumari, RP Priyadharsini - World Scientific News, 2016 - researchgate.net",2016
AI in (and for) Games,https://link.springer.com/chapter/10.1007/978-3-030-76794-5_3,"K Karpouzis, GA Tsatiris - Advances in Machine Learning/Deep Learning …, 2022 - Springer",2022
