title,link,authors
Can Large Language Models Detect Misinformation in Scientific News Reporting?,https://arxiv.org/abs/2402.14268,"Y Cao, AM Nair, E Eyimife, NJ Soofi… - arXiv preprint arXiv …, 2024 - arxiv.org"
SciNews: From Scholarly Complexities to Public Narratives--A Dataset for Scientific News Report Generation,https://arxiv.org/abs/2403.17768,"D Liu, Y Wang, J Loy, V Demberg - arXiv preprint arXiv:2403.17768, 2024 - arxiv.org"
Searching for evidence of scientific news in scholarly big data,https://dl.acm.org/doi/abs/10.1145/3360901.3364438,"MRU Hoque, D Bradley, C Kwan, A Chiatti… - Proceedings of the 10th …, 2019 - dl.acm.org"
Predicting news coverage of scientific articles,https://ojs.aaai.org/index.php/ICWSM/article/view/14999,"A MacLaughlin, J Wihbey, D Smith - Proceedings of the International …, 2018 - ojs.aaai.org"
Combating Online Scientific Misinformation,https://infoscience.epfl.ch/record/294599,P Smeros - 2022 - infoscience.epfl.ch
Scilens: Evaluating the quality of scientific news articles using social media and scientific literature indicators,https://dl.acm.org/doi/abs/10.1145/3308558.3313657,"P Smeros, C Castillo, K Aberer - The World Wide Web Conference, 2019 - dl.acm.org"
A simple three-step approach for the automatic detection of exaggerated statements in health science news,https://aclanthology.org/2021.eacl-main.289/,"J Patro, S Baruah - Proceedings of the 16th Conference of the …, 2021 - aclanthology.org"
Scilens news platform: a system for real-time evaluation of news articles,https://arxiv.org/abs/2008.12039,"A Romanou, P Smeros, C Castillo, K Aberer - arXiv preprint arXiv …, 2020 - arxiv.org"
Ten years of science news: A longitudinal analysis of scientific culture in the Spanish digital press,https://journals.sagepub.com/doi/abs/10.1177/0963662515576864,"T Groves, CG Figuerola… - Public Understanding of …, 2016 - journals.sagepub.com"
An NLP analysis of exaggerated claims in science news,https://aclanthology.org/W17-4219/,"Y Li, J Zhang, B Yu - Proceedings of the 2017 EMNLP Workshop …, 2017 - aclanthology.org"
Sciclops: Detecting and contextualizing scientific claims for assisting manual fact-checking,https://dl.acm.org/doi/abs/10.1145/3459637.3482475,"P Smeros, C Castillo, K Aberer - Proceedings of the 30th ACM …, 2021 - dl.acm.org"
