title,link,authors
SciNews: From Scholarly Complexities to Public Narratives--A Dataset for Scientific News Report Generation,https://arxiv.org/abs/2403.17768,"D Liu, Y Wang, J Loy, V Demberg - arXiv preprint arXiv:2403.17768, 2024 - arxiv.org"
Sciev: Finding scientific evidence papers for scientific news,https://arxiv.org/abs/2205.00126,"MRU Hoque, J Li, J Wu - arXiv preprint arXiv:2205.00126, 2022 - arxiv.org"
Scilens: Evaluating the quality of scientific news articles using social media and scientific literature indicators,https://dl.acm.org/doi/abs/10.1145/3308558.3313657,"P Smeros, C Castillo, K Aberer - The World Wide Web Conference, 2019 - dl.acm.org"
Scilens news platform: a system for real-time evaluation of news articles,https://arxiv.org/abs/2008.12039,"A Romanou, P Smeros, C Castillo, K Aberer - arXiv preprint arXiv …, 2020 - arxiv.org"
Predicting news coverage of scientific articles,https://ojs.aaai.org/index.php/ICWSM/article/view/14999,"A MacLaughlin, J Wihbey, D Smith - Proceedings of the International …, 2018 - ojs.aaai.org"
Can Large Language Models Detect Misinformation in Scientific News Reporting?,https://arxiv.org/abs/2402.14268,"Y Cao, AM Nair, E Eyimife, NJ Soofi… - arXiv preprint arXiv …, 2024 - arxiv.org"
Automatic extraction of IDM-related information in scientific articles and online science news websites,https://link.springer.com/chapter/10.1007/978-3-030-02456-7_18,"O Nédey, A Souili, D Cavallucci - … 2018, Strasbourg, France, October 29–31 …, 2018 - Springer"
Searching for evidence of scientific news in scholarly big data,https://dl.acm.org/doi/abs/10.1145/3360901.3364438,"MRU Hoque, D Bradley, C Kwan, A Chiatti… - Proceedings of the 10th …, 2019 - dl.acm.org"
[HTML][HTML] Who Wrote the Scientific News? Improving the Discernibility of LLMs to Human-Written Scientific News,https://search.proquest.com/openview/5e9e3f1572a286f468d03abb6d3d09d8/1?pq-origsite=gscholar&cbl=18750&diss=y,D Soós - 2024 - search.proquest.com
Ten years of science news: A longitudinal analysis of scientific culture in the Spanish digital press,https://journals.sagepub.com/doi/abs/10.1177/0963662515576864,"T Groves, CG Figuerola… - Public Understanding of …, 2016 - journals.sagepub.com"
Algorithmic Science News: support platform for science journalism,https://repositorio-aberto.up.pt/handle/10216/151375,"J Silva, M Fernandes, A Pasquali… - … : Atas do VI …, 2019 - repositorio-aberto.up.pt"
Combating Online Scientific Misinformation,https://infoscience.epfl.ch/record/294599,P Smeros - 2022 - infoscience.epfl.ch
'Don't Get Too Technical with Me': A Discourse Structure-Based Framework for Automatic Science Journalism,https://aclanthology.org/2023.emnlp-main.76/,"R Cardenas, B Yao, D Wang, Y Hou - Proceedings of the 2023 …, 2023 - aclanthology.org"
An NLP analysis of exaggerated claims in science news,https://aclanthology.org/W17-4219/,"Y Li, J Zhang, B Yu - Proceedings of the 2017 EMNLP Workshop …, 2017 - aclanthology.org"
Identifying science in the news: An assessment of the precision and recall of Altmetric. com news mention data,https://link.springer.com/article/10.1007/s11192-022-04510-7,"A Fleerackers, L Nehring, LA Maggio, A Enkhbayar… - Scientometrics, 2022 - Springer"
HarriGT: a tool for linking news to science,https://research.aber.ac.uk/cy/publications/harrigt-a-tool-for-linking-news-to-science,"JE Ravenscroft, A Clare… - 56th Annual Meeting of the …, 2018 - research.aber.ac.uk"
Learning about the nature of science using newspaper articles with scientific content: A study in initial primary teacher education,https://link.springer.com/article/10.1007/s11191-016-9831-9,"A García-Carmona, JA Acevedo Díaz - Science & Education, 2016 - Springer"
Science news in Turkey,https://books.google.com/books?hl=en&lr=&id=uPN6DwAAQBAJ&oi=fnd&pg=PT173&dq=%22science+news%22OR%22scientific+news%22+automatic+AND+evaluation&ots=UhpA9Bo1d2&sig=RaNbFgOrcydqFmqIAnjRRC61w_k,"A Süerdem - The Cultural Authority of Science: Comparing across …, 2018 - books.google.com"
[PDF][PDF] HarriGT: Linking news articles to scientific literature,https://aclanthology.org/P18-4.pdf#page=33,"J Ravenscroft, A Clare, M Liakata - ACL 2018, 2018 - aclanthology.org"
A simple three-step approach for the automatic detection of exaggerated statements in health science news,https://aclanthology.org/2021.eacl-main.289/,"J Patro, S Baruah - Proceedings of the 16th Conference of the …, 2021 - aclanthology.org"
[PDF][PDF] An automatic method to identify citations to journals in news stories: A case study of UK newspapers citing Web of Science journals,https://sciendo.com/pdf/10.2478/jdis-2019-0016,"K Kousha, M Thelwall - 2019 - sciendo.com"
Understanding practices around computational news discovery tools in the domain of science journalism,https://dl.acm.org/doi/abs/10.1145/3637419,"S Nishal, J Sinchai, N Diakopoulos - Proceedings of the ACM on Human …, 2024 - dl.acm.org"
'Don't Get Too Technical with Me': A Discourse Structure-Based Framework for Science Journalism,https://arxiv.org/abs/2310.15077,"R Cardenas, B Yao, D Wang, Y Hou - arXiv preprint arXiv:2310.15077, 2023 - arxiv.org"
